#Distance_(pixels),Gray_Value
1106,30.8077
1107,31.4231
1108,32.0103
1109,32.1026
1110,31.7769
1111,30.8795
1112,29.7872
1113,29.8333
1114,29.9026
1115,29.8231
1116,30.3077
1117,29.9256
1118,30.5128
1119,30.4385
1120,30.0641
1121,30.3462
1122,30.4897
1123,30.7487
1124,30.9692
1125,31.2436
1126,31.6744
1127,31.5923
1128,31.8667
1129,32.3128
1130,32.3846
1131,33.1615
1132,33.1205
1133,33.1282
1134,33.6462
1135,34.3718
1136,34.6923
1137,34.6769
1138,35.6385
1139,36.8641
1140,36.8872
1141,36.1385
1142,35.6410
1143,35.1974
1144,34.8692
1145,33.9641
1146,34.3359
1147,34.2410
1148,34.4538
1149,33.8256
1150,33.6795
1151,34.2205
1152,34.6795
1153,34.3949
1154,33.8026
1155,34.0692
1156,35.2487
1157,35.3308
1158,35.6949
1159,36.0641
1160,35.6564
1161,34.9667
1162,34.1333
1163,33.9564
1164,33.8846
1165,33.7128
1166,34.2026
1167,34.7256
1168,34.7923
1169,34.3846
1170,34.2462
1171,35.5077
1172,36.0846
1173,35.8154
1174,36.3205
1175,37.9179
1176,38.2718
1177,37.9872
1178,38.6000
1179,39.3692
1180,39.1821
1181,39.6180
1182,39.7436
1183,39.7385
1184,39.5026
1185,38.3744
1186,37.4821
1187,36.8282
1188,37.7436
1189,37.9231
1190,38.0744
1191,39.0692
1192,39.1923
1193,39.8077
1194,39.7231
1195,40.8718
1196,41.2744
1197,41.4410
1198,41.8769
1199,42.1718
1200,43.1564
1201,43.4256
1202,43.5846
1203,43.7795
1204,43.1641
1205,42.8538
1206,42.9795
1207,42.1000
1208,41.4000
1209,40.7513
1210,40.7462
1211,40.3846
1212,41.0821
1213,41.6667
1214,41.5256
1215,41.5667
1216,42.2385
1217,42.4385
1218,42.0872
1219,41.0487
1220,41.2769
1221,40.6615
1222,41.0179
1223,41.2769
1224,41.3513
1225,41.9026
1226,41.9282
1227,42.3872
1228,42.6128
1229,41.8820
1230,41.8333
1231,41.0923
1232,40.0359
1233,38.6590
1234,39.1667
1235,38.3282
1236,37.9282
1237,37.8462
1238,37.4641
1239,36.2795
1240,36.6590
1241,36.1821
1242,35.5615
1243,35.3538
1244,36.5231
1245,36.6897
1246,36.8077
1247,36.8205
1248,37.5128
1249,37.3513
1250,36.1410
1251,36.2462
1252,36.4590
1253,36.5846
1254,37.3128
1255,38.5590
1256,39.1436
1257,39.4385
1258,39.8744
1259,39.4615
1260,39.3872
1261,39.8333
1262,40.1667
1263,40.5026
1264,40.8103
1265,40.9077
1266,40.6974
1267,40.5308
1268,41.2333
1269,40.5590
1270,40.0718
1271,39.3974
1272,38.8205
1273,38.5846
1274,38.4103
1275,39.0590
1276,39.5103
1277,40.2051
1278,40.0410
1279,40.9410
