#Distance_(pixels),Gray_Value
1059,85.0885
1060,88.2386
1061,90.7604
1062,93.5895
1063,96.5308
1064,99.3161
1065,102.1431
1066,104.2306
1067,104.4692
1068,103.9662
1069,104.2137
1070,104.5805
1071,104.4732
1072,104.8678
1073,105.0815
1074,104.5586
1075,103.3211
1076,102.3658
1077,100.7913
1078,98.4592
1079,96.2634
1080,94.6422
1081,92.8300
1082,90.6004
1083,87.5924
1084,84.8062
1085,81.6958
1086,78.4891
1087,74.8549
1088,71.0924
1089,67.4036
1090,64.4056
1091,61.5914
