Tiempo [s], Recorrido [m], Posición [m], Velocidad [m/s], Aceleración [m/s^2]
18.7979300,-0.0020000,0.0000000,-0.1497255,-0.2618484
18.8489130,-0.0100000,0.0000000,-0.1584872,0.1013634
18.8989040,-0.0180000,0.0000000,-0.1400272,0.4849028
18.9488930,-0.0240000,0.0000000,-0.1100071,0.7003411
18.9989010,-0.0290000,0.0000000,-0.0699914,0.7000650
19.0488830,-0.0310000,0.0000000,-0.0400024,0.7000880
19.0988950,-0.0330000,0.0000000,0.0000192,1.0003041
19.1488830,-0.0310000,0.0000000,0.0600184,0.8001121
19.1988670,-0.0270000,0.0000000,0.0800112,0.4143199
19.2488690,-0.0230000,0.0000000,0.1014451,0.4894946
19.2978640,-0.0170000,0.0000000,0.1283484,0.3809087
19.3498710,-0.0100000,0.0000000,0.1388733,0.0215404
19.3988560,-0.0030000,0.0000000,0.1315850,-0.2972390
19.4488400,0.0030000,0.0000000,0.1091562,-0.5122260
19.4998320,0.0080000,0.0000000,0.0797332,-0.4838820
19.5478460,0.0110000,0.0000000,0.0607105,-0.5044791
19.5988410,0.0140000,0.0000000,0.0291196,-0.8029766
19.6488230,0.0140000,0.0000000,-0.0200036,-0.8914780
19.6988110,0.0120000,0.0000000,-0.0600004,-0.6894046
19.7488130,0.0080000,0.0000000,-0.0889341,-0.5016577
19.7998080,0.0030000,0.0000000,-0.1105119,-0.4222878
19.8487940,-0.0030000,0.0000000,-0.1311582,-0.2126545
19.8987900,-0.0100000,0.0000000,-0.1311347,0.2042124
19.9477960,-0.0160000,0.0000000,-0.1113401,0.4218113
19.9977840,-0.0210000,0.0000000,-0.0893424,0.5142914
20.0487740,-0.0250000,0.0000000,-0.0592578,0.4892233
20.0977710,-0.0270000,0.0000000,-0.0400326,0.5923012
20.1487730,-0.0290000,0.0000000,0.0007899,0.7923372
20.1987680,-0.0270000,0.0000000,0.0400072,0.6024817
20.2487550,-0.0250000,0.0000000,0.0610301,0.5141283
20.2977540,-0.0210000,0.0000000,0.0907157,0.4969638
20.3477620,-0.0160000,0.0000000,0.1100110,0.1843862
20.3977480,-0.0100000,0.0000000,0.1091620,-0.0089352
20.4487300,-0.0050000,0.0000000,0.1091250,-0.0862395
20.4987440,0.0010000,0.0000000,0.1006162,-0.3951341
20.5477240,0.0050000,0.0000000,0.0704696,-0.5200033
20.5987370,0.0080000,0.0000000,0.0490158,-0.5044671
20.6497200,0.0100000,0.0000000,0.0190210,-0.5915147
20.6977090,0.0100000,0.0000000,-0.0095091,-0.6921251
20.7486970,0.0090000,0.0000000,-0.0500872,-0.6960302
20.7987100,0.0050000,0.0000000,-0.0800016,-0.3991516
20.8486950,0.0010000,0.0000000,-0.0900127,-0.1904454
20.8986930,-0.0040000,0.0000000,-0.0990427,-0.1014320
20.9496810,-0.0090000,0.0000000,-0.1000976,-0.0198463
20.9986750,-0.0140000,0.0000000,-0.1010302,0.1985496
21.0486820,-0.0190000,0.0000000,-0.0799956,0.5102211
21.0986720,-0.0220000,0.0000000,-0.0500127,0.5000030
21.1486530,-0.0240000,0.0000000,-0.0300080,0.6001951
21.1986680,-0.0250000,0.0000000,0.0100180,0.6000450
21.2486530,-0.0230000,0.0000000,0.0300085,0.4000200
21.2986430,-0.0220000,0.0000000,0.0500100,0.5001430
21.3486330,-0.0180000,0.0000000,0.0800128,0.3081635
21.3986270,-0.0140000,0.0000000,0.0808191,0.0001813
21.4476390,-0.0100000,0.0000000,0.0800618,0.0709511
21.4986280,-0.0060000,0.0000000,0.0882628,-0.0119267
21.5496090,-0.0010000,0.0000000,0.0788484,-0.2754051
21.5996200,0.0020000,0.0000000,0.0606234,-0.3844065
21.6486020,0.0050000,0.0000000,0.0408355,-0.5092852
21.6985920,0.0060000,0.0000000,0.0100040,-0.5084325
21.7486020,0.0060000,0.0000000,-0.0100034,-0.4923892
21.7985940,0.0050000,0.0000000,-0.0392326,-0.5984931
21.8495770,0.0020000,0.0000000,-0.0704639,-0.3049757
